"BTC_dailyZ_SCORE",""
"actual","predict","actualNor","predictNor"
"3426.679931640625","4366.573383560287","-0.002595474012196064","-0.23196913301944733"
"3486.0","4345.085377520454","-0.008751398883759975","-0.217406764626503"
"3439.52001953125","4317.652635128955","-0.015018248930573463","-0.22881706058979034"
"3295.5","4298.036458412696","-0.019267568364739418","-0.2641723155975342"
"3241.0","4285.256300873838","-0.021762292832136154","-0.27755144238471985"
"3263.050048828125","4280.085962787949","-0.022548483684659004","-0.27213841676712036"
"3584.989990234375","4278.924566221045","-0.022889375686645508","-0.19310584664344788"
"3681.10009765625","4280.214115740676","-0.021622251719236374","-0.16951194405555725"
"3922.60009765625","4297.155936091147","-0.016257846727967262","-0.11022647470235825"
"4200.0","4322.7028857795085","-0.009951272048056126","-0.04212796688079834"
"4163.66015625","4340.868274709593","-0.006734577938914299","-0.051049016416072845"
"4005.0","4349.828123681376","-0.005382554139941931","-0.08999822288751602"
"4053.0400390625","4347.43470226098","-0.006250725593417883","-0.07820495963096619"
"4238.330078125","4345.833435289787","-0.006309443153440952","-0.032718390226364136"
"4046.239990234375","4346.257462984467","-0.006327041424810886","-0.07987427711486816"
"3863.820068359375","4344.900267067557","-0.006632850039750338","-0.12465628981590271"
"3842.27001953125","4343.7986714181725","-0.006950913462787867","-0.12994657456874847"
"3965.22998046875","4337.868057783666","-0.008898753672838211","-0.09976129978895187"
"3937.2099609375","4331.8379188512945","-0.009908376261591911","-0.10663989186286926"
"3864.929931640625","4328.9330806519665","-0.010303014889359474","-0.12438379973173141"
"3837.909912109375","4332.646060172695","-0.009155914187431335","-0.13101689517498016"
"3840.85009765625","4337.489221266395","-0.008080254308879375","-0.13029515743255615"
"3911.989990234375","4340.234566325239","-0.0076369415037333965","-0.11283110827207565"
"3894.169921875","4341.2350736508115","-0.007317382842302322","-0.11720571666955948"
"3850.300048828125","4342.9222899772585","-0.006944792810827494","-0.12797529995441437"
"3859.5","4343.302289279609","-0.007039185147732496","-0.12571680545806885"
"4079.0400390625","4342.857039334558","-0.007059883326292038","-0.07182225584983826"
"4069.9599609375","4344.383032569472","-0.006333379540592432","-0.07405129075050354"
"4112.1201171875","4350.339430441492","-0.00455793272703886","-0.06370149552822113"
"4044.820068359375","4357.8797113632245","-0.0031843797769397497","-0.08022287487983704"
"4034.610107421875","4359.062160410085","-0.003116810228675604","-0.08272930979728699"
"3695.0","4355.826150397395","-0.004547939170151949","-0.1660996526479721"
"3650.0","4345.344875868469","-0.007444813381880522","-0.17714664340019226"
"3644.5400390625","4334.099909516976","-0.010191253386437893","-0.17848700284957886"
"3713.159912109375","4322.627450808756","-0.012751788832247257","-0.16164158284664154"
"3682.590087890625","4316.686207080302","-0.013551853597164154","-0.16914616525173187"
"3663.580078125","4317.498362191636","-0.013011856004595757","-0.17381291091442108"
"3657.7900390625","4320.743985572656","-0.012168068438768387","-0.17523428797721863"
"3643.68994140625","4325.4692671948615","-0.010858657769858837","-0.1786956787109375"
"3760.0","4330.955234090933","-0.009612130001187325","-0.15014290809631348"
"3702.090087890625","4335.034883565302","-0.008694536983966827","-0.16435915231704712"
"3568.780029296875","4337.754594239848","-0.008244571276009083","-0.1970852166414261"
"3611.6298828125","4336.891166566166","-0.008869346231222153","-0.1865660399198532"
"3611.570068359375","4332.952436021016","-0.009755049832165241","-0.18658076226711273"
"3596.64990234375","4329.845432555322","-0.010443047620356083","-0.1902434527873993"
"3578.0","4328.077350501703","-0.010733067989349365","-0.1948218196630478"
"3659.3798828125","4328.114259917839","-0.010598108172416687","-0.17484396696090698"
"3563.5400390625","4329.097114913956","-0.01035750936716795","-0.19837157428264618"
"3535.179931640625","4330.109105927743","-0.010175954550504684","-0.2053336352109909"
"3437.929931640625","4329.292053082188","-0.010597489774227142","-0.22920739650726318"
"3459.5","4325.857026617543","-0.011646661907434464","-0.22391220927238464"
"3472.0","4320.218050103668","-0.01303779985755682","-0.2208435982465744"
