"Z_SCORE",""
"actual","predict"
"5999.604458764473","5989.97998046875"
"6031.948109181387","6170.330078125"
"6116.520013675528","6427.25"
"6280.475911917265","7445.4501953125"
"6578.2014586923215","7578.830078125"
"6974.478492640346","8170.0"
"7385.968412615219","8342.0"
"7792.344475888459","8299.5"
"8142.262463719021","8380.0"
"8348.202392224708","7941.509765625"
"8315.110917354228","7488.2099609375"
"8121.514462735044","8304.5595703125"
"7998.3453472311085","8198.01953125"
"8058.163048311451","8111.31982421875"
"8206.525592695583","8044.080078125"
"8287.591705863408","7983.02978515625"
"8258.214830445888","8180.0"
"8204.197382083486","8149.5"
"8186.116297917036","8786.3203125"
"8251.237482614022","8946.0"
"8431.558110781214","8823.75"
"8635.134137053159","8760.0"
"8751.196492246738","9094.509765625"
"8747.903151049275","8554.9599609375"
"8666.158168669705","8621.0"
"8599.750871592672","8831.6904296875"
"8609.89748974675","8745.75"
"8623.75506535158","8110.990234375"
"8509.242260697829","7923.97998046875"
"8290.789869403143","7876.91015625"
"8075.90736867365","8130.0"
"7958.609889130952","8058.33984375"
"7942.687783873953","7962.68017578125"
"7938.858339951337","8095.18994140625"
"7917.428313353702","8056.22998046875"
"7908.207249360987","8290.2001953125"
"7937.603548790288","8329.1298828125"
"8015.829871435738","8729.169921875"
"8156.50050715461","8911.599609375"
"8367.56473276826","9386.98046875"
"8622.43374695018","9472.0"
"8883.662425389331","9360.740234375"
"9087.07844636423","9324.25"
"9208.75385536221","9605.4404296875"
"9307.410353598872","10243.8203125"
"9488.794203610925","11201.0"
"9827.607241106167","11200.0"
"10250.54955842709","11090.0"
"10612.415013103971","11791.5302734375"
"10922.325121069149","13858.3701171875"
"11385.342088295956","13359.990234375"
"11806.646961423747","12436.0"
"11966.412857524181","12388.240234375"
"11979.94508093168","12197.0302734375"
"11839.413812497336","11199.58984375"
"11548.963650734913","10915.9501953125"
"11208.73460278084","12023.240234375"
"11070.230715576134","12052.8603515625"
"11156.298511777557","11441.83984375"
"11245.679073188221","11722.580078125"
"11266.648265106352","11624.8798828125"
"11268.930586490616","12400.0"
"11353.366765702438","12832.830078125"
"11583.624342957148","13186.900390625"
"11858.838309878589","12097.33984375"
"11940.606601072297","11947.849609375"
"11798.998756784993","11847.0"
"11638.78902201536","11458.2001953125"
"11402.28176897013","11088.4404296875"
"11115.348810140942","11030.0"
"10802.32211948551","9981.23046875"
"10446.233365912285","10795.009765625"
"10192.859757837352","10762.5"
"10155.287406249152","11122.830078125"
"10277.062848907804","10827.080078125"
"10420.59804076407","10700.0"
"10470.14286761376","10327.3798828125"
"10377.859387642431","9911.759765625"
"10171.429731239718","10183.3701171875"
"9973.663669691603","9945.23046875"
"9850.11578595794","10240.4501953125"
"9771.31742616554","9635.4501953125"
"9681.124941062433","9720.0"
"9591.113584869181","9794.650390625"
"9535.482729528223","10130.580078125"
"9559.9331899578","10490.8603515625"
"9698.625004476486","10677.3203125"
"9923.827968265496","10922.41015625"
"10175.591811364082","11085.33984375"
"10409.210713857487","11950.0"
"10678.469764367179","12321.009765625"
"10987.839399204551","12141.6796875"
"11271.016239755596","12018.990234375"
"11492.849623100905","11961.740234375"
"11634.856145230013","11973.6796875"
"11653.672185442225","11577.3798828125"
"11598.48371196958","11550.990234375"
"11520.409867816612","11444.1298828125"
"11413.478740561262","10858.509765625"
"11190.089008272003","10445.740234375"
"10867.107025978537","10539.73046875"
"10580.30615042946","10465.3701171875"
"10397.651970046933","10508.9296875"
"10305.582639805489","10931.509765625"
