date,symbol,open,close,low,high,volume
2019-08-10 07-PM,ETHUSDT,207.07,207.46,205.93,206.52,999786.16
2019-08-10 06-PM,ETHUSDT,206.59,207.51,206.1,207.07,1265652.53
2019-08-10 05-PM,ETHUSDT,204.03,207.41,203.01,206.59,2936944.93
2019-08-10 04-PM,ETHUSDT,205.49,205.58,203.53,204.03,1301353.11
2019-08-10 03-PM,ETHUSDT,204.98,209.6,204.14,205.49,1941154.35
2019-08-10 02-PM,ETHUSDT,205.62,205.65,203.24,204.98,3047564.82
2019-08-10 01-PM,ETHUSDT,205.63,207.16,205,205.62,3729147.26
2019-08-10 12-PM,ETHUSDT,204.11,206.49,203.1,205.63,3998632.52
2019-08-10 11-AM,ETHUSDT,212.17,212.22,202.6,204.11,8575914.98
2019-08-10 10-AM,ETHUSDT,212.82,212.97,211.9,212.17,1418646.74
2019-08-10 09-AM,ETHUSDT,212.31,213.25,212.13,212.82,1604799.83
2019-08-10 08-AM,ETHUSDT,211.59,213.16,211.5,212.31,1599794.03
2019-08-10 07-AM,ETHUSDT,211.36,211.95,211.13,211.59,1305889.88
2019-08-10 06-AM,ETHUSDT,211.76,212.58,211.19,211.36,1838467.99
2019-08-10 05-AM,ETHUSDT,211.54,212.68,211.45,211.76,1008017.15
2019-08-10 04-AM,ETHUSDT,211.95,212.13,211.22,211.54,1011187.94
2019-08-10 03-AM,ETHUSDT,210.98,212.45,210.91,211.95,1717995.9
2019-08-10 02-AM,ETHUSDT,212.88,213.45,210.88,210.98,2605377.75
2019-08-10 01-AM,ETHUSDT,213.47,214.04,212.33,212.88,1118063.39
2019-08-10 12-AM,ETHUSDT,210.53,215,210.52,213.47,3590152.26
2019-08-09 11-PM,ETHUSDT,209.07,210.99,208.93,210.53,1176478.76
2019-08-09 10-PM,ETHUSDT,210.47,210.89,208.67,209.07,1028731
2019-08-09 09-PM,ETHUSDT,209.79,210.66,209.31,210.47,876996.51
2019-08-09 08-PM,ETHUSDT,210.02,210.83,209.45,209.79,970944.23
2019-08-09 07-PM,ETHUSDT,208.4,210.25,208.21,210.02,1490049.3
2019-08-09 06-PM,ETHUSDT,208.95,209.56,207.8,208.4,1536179.48
2019-08-09 05-PM,ETHUSDT,209.72,209.72,207.3,208.95,2382332.18
2019-08-09 04-PM,ETHUSDT,209.59,211.8,207.7,209.72,2619989.7
2019-08-09 03-PM,ETHUSDT,211.26,211.51,208.97,209.59,1391787.22
2019-08-09 02-PM,ETHUSDT,211.38,211.7,209.23,211.26,1944547.27
2019-08-09 01-PM,ETHUSDT,211.06,212.36,211.05,211.38,1947827.53
2019-08-09 12-PM,ETHUSDT,210.65,212.16,210.16,211.06,2148078.6
2019-08-09 11-AM,ETHUSDT,209.51,211.88,209.5,210.65,2978660.58
2019-08-09 10-AM,ETHUSDT,211.84,212.6,207.95,209.51,5066802.7
2019-08-09 09-AM,ETHUSDT,216.56,216.57,211.45,211.84,4555375.74
2019-08-09 08-AM,ETHUSDT,216.65,218.75,215.9,216.56,3153250.85
2019-08-09 07-AM,ETHUSDT,217.78,217.78,215.94,216.65,1635810.56
2019-08-09 06-AM,ETHUSDT,216.61,217.78,215.97,217.78,1644542.05
2019-08-09 05-AM,ETHUSDT,216.73,216.84,215.32,216.61,2248792.46
2019-08-09 04-AM,ETHUSDT,217.8,218.45,216.73,216.73,1311523.14
2019-08-09 03-AM,ETHUSDT,219.18,219.59,217.56,217.8,1035351.59
2019-08-09 02-AM,ETHUSDT,219.18,219.44,218.25,219.18,931895.26
2019-08-09 01-AM,ETHUSDT,221.04,221.14,219.18,219.18,1053466.91
2019-08-09 12-AM,ETHUSDT,221.39,221.79,220.5,221.04,2176519.33
2019-08-08 11-PM,ETHUSDT,219.75,222.04,219.73,221.39,2899760.61
2019-08-08 10-PM,ETHUSDT,218.89,219.95,218.64,219.75,1996759.72
2019-08-08 09-PM,ETHUSDT,218.65,221,218.12,218.89,1557690.66
2019-08-08 08-PM,ETHUSDT,218.28,218.89,217.03,218.65,1070338.14
2019-08-08 07-PM,ETHUSDT,219.11,219.5,217.82,218.28,1541267.21
2019-08-08 06-PM,ETHUSDT,218.16,219.2,215.51,219.11,2774864.51
2019-08-08 05-PM,ETHUSDT,220.71,220.73,217.01,218.16,3951181.86
2019-08-08 04-PM,ETHUSDT,222.03,222.03,218.59,220.71,4164237.8
2019-08-08 03-PM,ETHUSDT,222.88,223.3,221.67,222.03,1978111.45
2019-08-08 02-PM,ETHUSDT,222.4,223.58,222.11,222.88,2792584.46
2019-08-08 01-PM,ETHUSDT,224.63,224.75,222,222.4,2782164.37
2019-08-08 12-PM,ETHUSDT,224.34,225.45,224.06,224.63,2113164.94
2019-08-08 11-AM,ETHUSDT,225.35,226.05,224.26,224.34,2291193.23
2019-08-08 10-AM,ETHUSDT,226,228.5,225,225.35,2570337.16
2019-08-08 09-AM,ETHUSDT,225.84,227.39,224.72,226,2730771.39
2019-08-08 08-AM,ETHUSDT,225.76,226.9,224.93,225.84,2395958.33
2019-08-08 07-AM,ETHUSDT,224.95,225.85,224.81,225.76,1481458.62
2019-08-08 06-AM,ETHUSDT,225.37,225.53,223.69,224.95,2331811.6
2019-08-08 05-AM,ETHUSDT,225.83,225.92,224.99,225.37,1372164.77
2019-08-08 04-AM,ETHUSDT,225.77,226.28,225.2,225.83,1129685.98
2019-08-08 03-AM,ETHUSDT,225.97,226.84,225.62,225.77,1189383.91
2019-08-08 02-AM,ETHUSDT,225.51,226.42,225.03,225.97,1008103.43
2019-08-08 01-AM,ETHUSDT,225.91,226,224.84,225.51,1272742.21
2019-08-08 12-AM,ETHUSDT,226.1,226.71,224.84,225.91,1209592.43
2019-08-07 11-PM,ETHUSDT,226,227.12,224.73,226.1,1972784.25
2019-08-07 10-PM,ETHUSDT,225.19,226.67,224.95,226,1417059.53
2019-08-07 09-PM,ETHUSDT,224.59,227.39,223.62,225.19,2439818.53
2019-08-07 08-PM,ETHUSDT,224.45,225.82,222,224.59,3463980.22
2019-08-07 07-PM,ETHUSDT,224.05,224.89,223.3,224.45,1306795.65
2019-08-07 06-PM,ETHUSDT,225.03,225.25,223.81,224.05,1033245.77
2019-08-07 05-PM,ETHUSDT,223.86,225.25,223.08,225.03,2061085.5
2019-08-07 04-PM,ETHUSDT,224.54,225.23,220.95,223.86,5681196.37
2019-08-07 03-PM,ETHUSDT,228.81,229.09,223.4,224.54,6440158.49
2019-08-07 02-PM,ETHUSDT,229.42,230.82,228.5,228.81,3157775.68
2019-08-07 01-PM,ETHUSDT,228.65,231.25,228.47,229.42,5896133.26
2019-08-07 12-PM,ETHUSDT,228.39,229.26,227.6,228.65,3526089.88
2019-08-07 11-AM,ETHUSDT,226.61,228.46,225.75,228.39,2253762.48
2019-08-07 10-AM,ETHUSDT,226.64,227.63,226.57,226.61,1494252.18
2019-08-07 09-AM,ETHUSDT,225.86,227.75,224.89,226.64,1845564.42
2019-08-07 08-AM,ETHUSDT,225.3,226.19,223.6,225.86,2211028.65
2019-08-07 07-AM,ETHUSDT,226.72,226.93,225.15,225.3,1809129
2019-08-07 06-AM,ETHUSDT,227.07,227.38,226.37,226.72,1530174.39
2019-08-07 05-AM,ETHUSDT,227.58,228.21,226.53,227.07,1919973.78
2019-08-07 04-AM,ETHUSDT,226.61,228.31,226.37,227.58,2106945.7
2019-08-07 03-AM,ETHUSDT,227.1,227.33,225.76,226.61,1731854
2019-08-07 02-AM,ETHUSDT,225.84,227.88,225.77,227.1,1779246.7
2019-08-07 01-AM,ETHUSDT,225.58,226.62,225.3,225.84,1256385.88
2019-08-07 12-AM,ETHUSDT,226.28,226.81,224.43,225.58,1989975.88
2019-08-06 11-PM,ETHUSDT,224.83,226.97,224.35,226.28,1545001.83
2019-08-06 10-PM,ETHUSDT,224.26,226.03,223.32,224.83,2357263.64
2019-08-06 09-PM,ETHUSDT,226.61,226.69,223.03,224.26,3700806.6
2019-08-06 08-PM,ETHUSDT,227.98,228.15,225.38,226.61,1798887.57
2019-08-06 07-PM,ETHUSDT,229.01,229.78,227,227.98,1841021.56
2019-08-06 06-PM,ETHUSDT,228.68,229.19,228.24,229.01,921067.95
2019-08-06 05-PM,ETHUSDT,230.11,230.49,228.58,228.68,1239720.5
2019-08-06 04-PM,ETHUSDT,228.19,230.83,227.94,230.11,1682280.86
2019-08-06 03-PM,ETHUSDT,229.38,229.56,227.91,228.19,1539270.38
2019-08-06 02-PM,ETHUSDT,230.75,230.87,228.46,229.38,1379829.42
2019-08-06 01-PM,ETHUSDT,228.65,230.78,228.38,230.75,1919598.02
2019-08-06 12-PM,ETHUSDT,229.63,229.9,226.37,228.65,4806410.57
2019-08-06 11-AM,ETHUSDT,230.22,231.63,228.35,229.63,4991889.89
2019-08-06 10-AM,ETHUSDT,234.81,239.15,227.51,230.22,15566265.31
2019-08-06 09-AM,ETHUSDT,233.11,235.41,233.01,234.81,2041990.09
2019-08-06 08-AM,ETHUSDT,233.36,234.12,232.72,233.11,2022863.78
2019-08-06 07-AM,ETHUSDT,232.78,235.49,232.71,233.36,4801493.57
2019-08-06 06-AM,ETHUSDT,229.94,233.2,229.94,232.78,4490723.22
2019-08-06 05-AM,ETHUSDT,228.53,230.09,228.33,229.94,1162956.84
2019-08-06 04-AM,ETHUSDT,229.3,229.31,228.2,228.53,1227663.21
2019-08-06 03-AM,ETHUSDT,229.18,229.79,228.52,229.3,1676383.02
2019-08-06 02-AM,ETHUSDT,229.27,229.73,227.9,229.18,4642418.86
2019-08-06 01-AM,ETHUSDT,230.89,230.97,226.7,229.27,3447901.83
2019-08-06 12-AM,ETHUSDT,233.54,233.62,230.5,230.89,3253762.29
2019-08-05 11-PM,ETHUSDT,232.89,233.66,231.35,233.54,1463917.13
2019-08-05 10-PM,ETHUSDT,232.55,233.84,232.33,232.89,1003377.69
2019-08-05 09-PM,ETHUSDT,231.97,233.21,231.32,232.55,1160512.74
2019-08-05 08-PM,ETHUSDT,232.16,232.99,231.53,231.97,1520906.47
2019-08-05 07-PM,ETHUSDT,233.3,233.41,231.94,232.16,1329871.83
2019-08-05 06-PM,ETHUSDT,232.85,233.98,232.61,233.3,1403470.18
2019-08-05 05-PM,ETHUSDT,235.1,235.85,232.35,232.85,2991252.56
2019-08-05 04-PM,ETHUSDT,231.86,235.95,231.1,235.1,3167117.96
2019-08-05 03-PM,ETHUSDT,230.76,232.4,229.23,231.86,3277082
2019-08-05 02-PM,ETHUSDT,230.97,231.29,230.29,230.76,2460501.46
2019-08-05 01-PM,ETHUSDT,232.43,232.74,229.98,230.97,2679811.75
2019-08-05 12-PM,ETHUSDT,233.17,233.65,231.26,232.43,2685131.71
2019-08-05 11-AM,ETHUSDT,232.06,236.25,231.89,233.17,6310418.77
2019-08-05 10-AM,ETHUSDT,229.54,233.89,229.5,232.06,6421778.18
2019-08-05 09-AM,ETHUSDT,228.98,229.8,228.5,229.54,2084099.84
2019-08-05 08-AM,ETHUSDT,228.04,229.07,227.88,228.98,2274788.04
2019-08-05 07-AM,ETHUSDT,228.63,230,227.86,228.04,2686801.72
2019-08-05 06-AM,ETHUSDT,228.01,229,227.65,228.63,1935023.38
2019-08-05 05-AM,ETHUSDT,228.56,228.6,227.72,228.01,1295048.31
2019-08-05 04-AM,ETHUSDT,229.27,230.1,228.02,228.56,2282523.37
2019-08-05 03-AM,ETHUSDT,229.69,230.47,228,229.27,3050021.06
2019-08-05 02-AM,ETHUSDT,226.89,231.01,225.87,229.69,5235014.99
2019-08-05 01-AM,ETHUSDT,226.27,227.6,225.06,226.89,4710840.47
2019-08-05 12-AM,ETHUSDT,221.79,226.83,221.79,226.27,4089803.85
2019-08-04 11-PM,ETHUSDT,221.7,222.27,221.08,221.79,987863.54
2019-08-04 10-PM,ETHUSDT,221.28,222.89,220.96,221.7,1848397.41
2019-08-04 09-PM,ETHUSDT,220.95,221.45,219.5,221.28,1416100.01
2019-08-04 08-PM,ETHUSDT,220.53,221.37,220.29,220.95,766807.62
2019-08-04 07-PM,ETHUSDT,220.77,221.12,220.12,220.53,673246.09
2019-08-04 06-PM,ETHUSDT,219.83,221.38,219.73,220.77,719449.61
2019-08-04 05-PM,ETHUSDT,220.2,220.3,219.18,219.83,807096.87
2019-08-04 04-PM,ETHUSDT,220.61,221.44,219.5,220.2,1532511.68
2019-08-04 03-PM,ETHUSDT,220.66,221.78,220.43,220.61,2211581.32
2019-08-04 02-PM,ETHUSDT,219.1,221.07,219.05,220.66,1304077.99
2019-08-04 01-PM,ETHUSDT,218.27,219.81,218.22,219.1,778438.8
2019-08-04 12-PM,ETHUSDT,218.8,219.78,218.12,218.27,974876.71
2019-08-04 11-AM,ETHUSDT,219.25,219.37,218.4,218.8,575412.06
2019-08-04 10-AM,ETHUSDT,219.41,219.53,218.76,219.25,888782.23
2019-08-04 09-AM,ETHUSDT,218.34,219.45,218,219.41,798522.18
2019-08-04 08-AM,ETHUSDT,218.19,218.7,218.07,218.34,680008.97
