"DECIMAL_SCALING",""
"actual","predict"
"4096.130654215813","3912.510009765625"
"4113.294929265976","3971.4599609375"
"4148.74255657196","3966.669921875"
"4201.504960656166","3987.0"
"4249.775782227516","3954.989990234375"
"4284.289851784706","4153.009765625"
"4315.588995814323","4186.990234375"
"4340.232536196709","3859.169921875"
"4339.894279837608","3828.1201171875"
"4322.5254863500595","3820.280029296875"
"4301.8970638513565","3912.159912109375"
"4288.162663578987","3843.780029296875"
"4282.750561833382","3818.31005859375"
"4279.635101556778","3818.52001953125"
"4274.501278996468","3805.4599609375"
"4262.186586856842","3876.590087890625"
"4248.190298676491","3893.2900390625"
"4244.833439588547","3889.719970703125"
"4251.740500330925","3910.0"
"4260.733351111412","3947.8798828125"
"4270.83782851696","3918.35009765625"
"4283.489286899567","3910.4599609375"
"4293.282702565193","3876.219970703125"
"4296.429827809334","3869.989990234375"
"4295.908287167549","3900.0"
"4294.9870228767395","3907.110107421875"
"4297.468811273575","4037.02001953125"
"4310.07482111454","3992.419921875"
"4330.34636080265","4015.85009765625"
"4349.584132432938","4012.68994140625"
"4364.428669214249","4048.85009765625"
"4377.418011426926","4059.3701171875"
"4387.778043746948","3999.72998046875"
"4393.268749117851","4000.5"
"4395.395144820213","3982.449951171875"
"4395.522922277451","4034.1298828125"
"4392.0595198869705","3921.72998046875"
"4383.162036538124","4034.0"
"4377.477616071701","4027.35009765625"
"4382.185637950897","4098.0400390625"
"4395.653307437897","4129.490234375"
"4414.207488298416","4102.91015625"
"4432.610049843788","4147.990234375"
"4448.346421122551","5090.6201171875"
"4502.6496052742","5346.68017578125"
"4638.472199440002","5072.56982421875"
"4801.783338189125","5067.41015625"
"4938.330873847008","5239.39990234375"
"5043.689161539078","5266.740234375"
"5133.311823010445","5350.0"
"5222.330614924431","5287.89013671875"
"5305.912718176842","5471.14013671875"
"5378.957837820053","5347.06982421875"
"5427.4942725896835","5117.0498046875"
"5436.978489160538","5141.740234375"
"5423.464253544807","5187.93994140625"
"5408.962443470955","5190.0"
"5396.367982029915","5230.0"
"5386.503785848618","5271.8701171875"
"5388.12018930912","5315.47998046875"
"5401.461198925972","5358.64013671875"
"5418.15273463726","5358.02001953125"
"5433.783307671547","5342.22998046875"
"5445.471033453941","5439.990234375"
"5457.9053074121475","5643.97021484375"
"5486.313626170158","5624.580078125"
"5527.687445282936","5515.39990234375"
"5545.8661168813705","5290.47021484375"
"5524.35927093029","5217.39990234375"
"5485.304072499275","5213.66015625"
"5451.409891247749","5189.14013671875"
"5427.3780435323715","5285.02001953125"
"5416.74830019474","5358.2998046875"
"5424.783006310463","5421.330078125"
"5447.631701827049","5800.02001953125"
"5490.675196051598","5837.2001953125"
"5557.25134909153","5778.39990234375"
"5630.451813340187","5758.31005859375"
"5688.409507274628","5969.509765625"
"5734.862759709358","5989.97998046875"
"5783.531442284584","6170.330078125"
"5852.911993861198","6427.25"
"5954.636633396149","7445.4501953125"
"6120.629981160164","7578.830078125"
"6343.723088502884","8170.0"
"6591.843068599701","8342.0"
"6863.696873188019","8299.5"
"7135.269045829773","8380.0"
"7363.288104534149","7941.509765625"
"7472.451031208038","7488.2099609375"
"7466.0524725914","8304.5595703125"
"7466.595619916916","8198.01953125"
"7534.482330083847","8111.31982421875"
"7631.912082433701","8044.080078125"
"7691.583037376404","7983.02978515625"
"7695.862650871277","8180.0"
"7693.656533956528","8149.5"
"7712.103426456451","8786.3203125"
"7778.0961990356445","8946.0"
"7915.037125349045","8823.75"
"8072.755485773087","8760.0"
"8187.007904052734","9094.509765625"
"8233.445882797241","8554.9599609375"
"8225.84331035614","8621.0"
"8213.210105895996","8831.6904296875"
"8235.183358192444","8745.75"
"8255.430310964584","8110.990234375"
"8193.372189998627","7923.97998046875"
"8055.618405342102","7876.91015625"
"7908.014953136444","8130.0"
"7805.69314956665","8058.33984375"
"7761.4836394786835","7962.68017578125"
"7727.593183517456","8095.18994140625"
"7688.452303409576","8056.22998046875"
"7663.5777950286865","8290.2001953125"
"7668.398320674896","8329.1298828125"
"7709.045708179474","8729.169921875"
