"minuteZ_SCORE",""
"actual","predict","actualNor","predictNor"
"10759.043284796326","10908.01953125","1.464795708656311","1.876693844795227"
"10772.327409627715","10908.01953125","1.3112787008285522","1.876693844795227"
"10783.735879471875","10905.26953125","1.4245113134384155","1.8656249046325684"
"10817.525094302679","10903.0302734375","1.5492784976959229","1.8566087484359741"
"10841.997222291695","10903.0302734375","1.6371341943740845","1.8566087484359741"
"10859.757111103361","10903.009765625","1.702053189277649","1.8565281629562378"
"10872.909767420306","10895.98046875","1.7495139837265015","1.828231930732727"
"10882.383111951262","10895.98046875","1.7836159467697144","1.828231930732727"
"10889.137614154091","10894.740234375","1.8078699111938477","1.823240876197815"
"10893.914313384486","10894.740234375","1.8249564170837402","1.823240876197815"
"10897.2744164188","10894.7197265625","1.8370122909545898","1.8231604099273682"
"10899.637651075618","10892.6201171875","1.8454357385635376","1.8147077560424805"
"10901.215065932083","10888.08984375","1.850838303565979","1.7964742183685303"
"10902.182643397033","10888.08984375","1.8541125059127808","1.7964742183685303"
"10902.776280455726","10902.41015625","1.8561826944351196","1.854113221168518"
"10903.320013381315","10905.6796875","1.8586385250091553","1.8672751188278198"
"10904.128045703821","10905.6796875","1.862316608428955","1.8672751188278198"
"10904.947895088111","10900.9404296875","1.865160346031189","1.848196268081665"
"10905.540495562434","10900.9404296875","1.8674430847167969","1.848196268081665"
"10906.079489816633","10900.91015625","1.8695787191390991","1.8480756282806396"
"10906.593724512804","10900.900390625","1.8716042041778564","1.8480353355407715"
"10907.037530705406","10900.900390625","1.873239278793335","1.8480353355407715"
"10907.379159296106","10899.4404296875","1.8745040893554688","1.8421586751937866"
"10907.638364621274","10900.3701171875","1.87543785572052","1.8459020853042603"
"10907.843193692213","10900.3701171875","1.876240849494934","1.8459020853042603"
"10908.035198733698","10900.3701171875","1.876997470855713","1.8459020853042603"
"10908.129142894053","10893.9599609375","1.877118468284607","1.8201013803482056"
"10908.04719349566","10893.9501953125","1.8765723705291748","1.8200610876083374"
"10907.808601391049","10893.9501953125","1.875433325767517","1.8200610876083374"
"10907.508051157982","10893.9599609375","1.8742382526397705","1.8201013803482056"
"10907.279321413207","10900.0","1.8735122680664062","1.8444128036499023"
"10907.198378982484","10900.0","1.8733909130096436","1.8444128036499023"
"10907.27656706046","10900.0","1.8739235401153564","1.8444128036499023"
"10907.447218463982","10900.0","1.8746232986450195","1.8444128036499023"
"10907.626429092705","10900.900390625","1.8753613233566284","1.8480353355407715"
"10907.825986391721","10928.6103515625","1.8761974573135376","1.959570050239563"
"10908.322599153651","10927.1904296875","1.8790428638458252","1.9538544416427612"
"10909.375028453223","10927.169921875","1.883801817893982","1.9537739753723145"
"10910.564109189076","10927.169921875","1.88839590549469","1.9537739753723145"
"10911.669967008596","10927.169921875","1.8928698301315308","1.9537739753723145"
"10912.724321393422","10928.5","1.896911382675171","1.9591273069381714"
"10913.650465100385","10928.5","1.9005014896392822","1.9591273069381714"
"10914.492645473612","10928.5","1.9038015604019165","1.9591273069381714"
"10915.230960093255","10928.5","1.9065802097320557","1.9591273069381714"
"10915.80608671682","10926.01953125","1.9086674451828003","1.9491450786590576"
"10916.195575888585","10923.330078125","1.9099706411361694","1.9383176565170288"
"10916.429370088412","10923.330078125","1.9107720851898193","1.9383176565170288"
"10916.526157451603","10925.91015625","1.9109395742416382","1.948702335357666"
"10916.54896230768","10925.91015625","1.9110727310180664","1.948702335357666"
"10916.576565068539","10919.91015625","1.91115140914917","1.9245519638061523"
"10916.544549419945","10924.4404296875","1.910875678062439","1.9427855014801025"
"10916.449509441829","10919.990234375","1.9105228185653687","1.924873948097229"
"10916.363532172752","10919.990234375","1.9101369380950928","1.924873948097229"
"10916.284040960143","10919.990234375","1.9098947048187256","1.924873948097229"
"10916.240682116902","10919.990234375","1.909726858139038","1.924873948097229"
"10916.054304247697","10906.349609375","1.908582329750061","1.8699719905853271"
"10915.531154925968","10899.3095703125","1.905948519706726","1.8416354656219482"
"10914.661253325095","10890.58984375","1.9020860195159912","1.8065367937088013"
"10913.573017439814","10890.599609375","1.8974661827087402","1.8065770864486694"
"10912.419565589495","10894.4296875","1.892926812171936","1.821993112564087"
"10911.417514290164","10894.4404296875","1.889209508895874","1.822033405303955"
"10910.623105647912","10894.4404296875","1.886240839958191","1.822033405303955"
"10909.961705588308","10894.4404296875","1.883712649345398","1.822033405303955"
"10909.347188758793","10891.7900390625","1.8812278509140015","1.8113669157028198"
"10908.76572416224","10890.490234375","1.8789788484573364","1.8061343431472778"
"10908.221161969157","10890.3701171875","1.876781940460205","1.805651307106018"
"10907.709592775644","10890.3701171875","1.8748222589492798","1.805651307106018"
"10907.252014819307","10887.66015625","1.8730186223983765","1.7947434186935425"
"10906.666877752426","10876.3203125","1.8702484369277954","1.7490991353988647"
"10905.727850782616","10869.6103515625","1.8659178018569946","1.7220908403396606"
"10904.52014114485","10869.599609375","1.8609360456466675","1.722050666809082"
"10903.240936802453","10870.75","1.8557201623916626","1.7266794443130493"
"10901.988476336726","10878.01953125","1.850832462310791","1.7559417486190796"
"10900.994776945725","10878.01953125","1.8474347591400146","1.7559417486190796"
"10900.397023166262","10878.01953125","1.8454482555389404","1.7559417486190796"
"10899.86407071809","10868.83984375","1.8430110216140747","1.7189915180206299"
"10899.143407649382","10866.3896484375","1.8398910760879517","1.7091301679611206"
"10898.287958996258","10861.1796875","1.8363227844238281","1.688159465789795"
"10897.351656762497","10861.1796875","1.8324304819107056","1.688159465789795"
"10896.37655665671","10861.1796875","1.8285633325576782","1.688159465789795"
"10895.453789253115","10861.1796875","1.8249326944351196","1.688159465789795"
"10894.598607150256","10868.849609375","1.8215965032577515","1.719031810760498"
"10893.925005011817","10868.849609375","1.819314956665039","1.719031810760498"
"10893.586426940825","10887.66015625","1.818398356437683","1.7947434186935425"
"10893.702850173599","10887.66015625","1.819703459739685","1.7947434186935425"
"10894.390490626038","10882.419921875","1.823097825050354","1.7736520767211914"
"10895.270609987101","10892.330078125","1.8264271020889282","1.8135404586791992"
"10896.164915745645","10892.330078125","1.8303804397583008","1.8135404586791992"
"10897.264702142445","10885.9599609375","1.8349177837371826","1.7879008054733276"
"10898.286981645282","10885.9404296875","1.8386491537094116","1.7878202199935913"
"10899.020498360142","10884.009765625","1.8412587642669678","1.780051827430725"
"10899.554457775985","10884.009765625","1.84320867061615","1.780051827430725"
"10899.998323201977","10884.009765625","1.8449770212173462","1.780051827430725"
"10900.394357663603","10884.009765625","1.8464494943618774","1.780051827430725"
"10900.693723228822","10883.1201171875","1.8475322723388672","1.7764695882797241"
"10900.903705604902","10882.4296875","1.8482637405395508","1.77369225025177"
"10901.043911044726","10882.4296875","1.848762035369873","1.77369225025177"
"10901.144074711285","10882.4296875","1.849128246307373","1.77369225025177"
"10901.218353385362","10882.4296875","1.8493964672088623","1.77369225025177"
"10901.271367271565","10882.4296875","1.849586844444275","1.77369225025177"
"10901.308447375211","10882.4296875","1.8497178554534912","1.77369225025177"
"10901.335724352413","10882.4296875","1.8498220443725586","1.77369225025177"
"10901.25019133378","10874.0","1.8491578102111816","1.7397608757019043"
"10900.939097556864","10879.1201171875","1.847609043121338","1.7603693008422852"
"10900.563380148833","10879.1201171875","1.8462976217269897","1.7603693008422852"
"10900.315399551526","10879.099609375","1.8454033136367798","1.7602888345718384"
"10900.047901551421","10878.0400390625","1.8441567420959473","1.7560222148895264"
"10899.711455882556","10878.0400390625","1.842811107635498","1.7560222148895264"
"10899.476062381134","10878.0400390625","1.8421554565429688","1.7560222148895264"
"10899.2743134466","10870.0","1.8410766124725342","1.7236605882644653"
"10898.800742474315","10867.5595703125","1.8386890888214111","1.7138395309448242"
"10898.151011393014","10867.5595703125","1.8361510038375854","1.7138395309448242"
"10897.554057264348","10867.5595703125","1.8337926864624023","1.7138395309448242"
"10896.896092741503","10861.759765625","1.83092200756073","1.6904940605163574"
"10896.104912319139","10861.759765625","1.8276095390319824","1.6904940605163574"
"10895.283700566823","10861.75","1.8243895769119263","1.6904537677764893"
"10894.532324984153","10861.740234375","1.8214575052261353","1.6904135942459106"
"10893.6825627367","10850.0","1.8176383972167969","1.64315927028656"
"10892.545755469644","10850.2998046875","1.8126672506332397","1.64436674118042"
"10891.262049389425","10850.2802734375","1.8075885772705078","1.6442862749099731"
"10890.057597588242","10850.8701171875","1.8028424978256226","1.6466610431671143"
