"MINMAX",""
"actual","predict"
"2518.0969067513943","3426.679931640625"
"3877.5327408909798","3486.0"
"4428.419930100441","3439.52001953125"
"4102.55200612545","3295.5"
"3876.817157715559","3241.0"
"3721.891781270504","3263.050048828125"
"3765.6639246344566","3584.989990234375"
"3897.0621861219406","3681.10009765625"
"4022.0210821032524","3922.60009765625"
"4134.501867681742","4200.0"
"4244.008170336485","4163.66015625"
"4336.652201414108","4005.0"
"4393.292478919029","4053.0400390625"
"4419.573897361755","4238.330078125"
"4437.327189207077","4046.239990234375"
"4442.217939704657","3863.820068359375"
"4423.764371275902","3842.27001953125"
"4383.8539044559","3965.22998046875"
"4341.753711909056","3937.2099609375"
"4316.055121392012","3864.929931640625"
"4302.633300721645","3837.909912109375"
"4288.597744584084","3840.85009765625"
"4270.408214867115","3911.989990234375"
"4261.746155589819","3894.169921875"
"4265.44210883975","3850.300048828125"
"4270.995163798332","3859.5"
"4275.585375249386","4079.0400390625"
"4290.675320088863","4069.9599609375"
"4326.939580082893","4112.1201171875"
"4374.572516918182","4044.820068359375"
"4417.782437384129","4034.610107421875"
"4431.723799109459","3695.0"
"4401.537433564663","3650.0"
"4343.52898222208","3644.5400390625"
"4278.015885442495","3713.159912109375"
"4221.265223860741","3682.590087890625"
"4181.23701402545","3663.580078125"
"4152.953081250191","3657.7900390625"
"4130.486536502838","3643.68994140625"
"4113.352572917938","3760.0"
"4105.077593803406","3702.090087890625"
"4099.796230852604","3568.780029296875"
"4086.7355868816376","3611.6298828125"
"4068.3149864971638","3611.570068359375"
"4054.924367725849","3596.64990234375"
"4049.5364473462105","3578.0"
"4048.5106113255024","3659.3798828125"
"4050.7492004036903","3563.5400390625"
"4051.007057607174","3535.179931640625"
"4040.37309718132","3437.929931640625"
"4014.650369346142","3459.5"
"3983.0357810258865","3472.0"
"3957.013397216797","3458.179931640625"
"3938.877734929323","3484.989990234375"
"3929.3667485117912","3471.419921875"
"3925.080314040184","3435.0"
"3920.0079449415207","3430.0"
"3913.5132402181625","3445.219970703125"
"3905.265636354685","3380.0"
"3893.782454431057","3711.260009765625"
"3894.6219621300697","3638.93994140625"
"3923.2508819401264","3655.0400390625"
"3969.4994552731514","3649.989990234375"
"4014.4690451025963","3618.56005859375"
"4046.4133138656616","3627.7900390625"
"4065.3893669247627","3657.0"
"4076.3518303632736","3615.7900390625"
"4082.509201347828","3606.919921875"
"4086.531891465187","3675.8701171875"
"4092.2518471479416","3912.510009765625"
