"REAL","MINMAX","DECIMAL_SCALING","Z_SCORE","MEDIAN_NOR","SIGMOID_NOR","TANH_EST"
"245.0","0.0","0.00245","-1.0130349967953176","0.06723952915862766","1.0","0.5"
"249.97","2.5159461374911404E-4","0.0024997","-1.0118149189334453","0.06860353103584553","1.0","0.5000012425621281"
"246.3","6.580945631264612E-5","0.002463","-1.0127158617409044","0.06759631033375507","1.0","0.5000003250162508"
"249.5","2.2780196415915765E-4","0.002495","-1.011930298530041","0.06847454091868407","1.0","0.5000011250562528"
"249.5","2.2780196415915765E-4","0.002495","-1.011930298530041","0.06847454091868407","1.0","0.5000011250562528"
"252.87","3.9840032398501593E-4","0.0025287","-1.0111030022736003","0.06939942750343744","1.0","0.5000019675983799"
"254.75","4.935709223448416E-4","0.0025475","-1.010641483887218","0.06991538797208324","1.0","0.5000024376218811"
"258.98","7.077047686544506E-4","0.0025898","-1.0096030675178578","0.0710762990265363","1.0","0.5000034951747587"
"269.98","0.001264554014376836","0.0026998","-1.0069026939805144","0.07409521666222978","1.0","0.5000062453122653"
"285.0","0.0020249063480814013","0.00285","-1.0032154566595235","0.07821741147024033","1.0","0.5000100005000236"
"274.89","0.0015131112686038264","0.0027489","-1.0056973454288454","0.07544275171598022","1.0","0.5000074728736431"
"274.77","0.0015070365495595819","0.0027476999999999996","-1.0057268040492529","0.07540981806904538","1.0","0.500007442872143"
"275.99","0.001568796193176066","0.0027599","-1.0054273080751113","0.07574464347954958","1.0","0.5000077478873938"
"272.75","0.0014047787789814722","0.0027275","-1.0062226908261105","0.07485543501230894","1.0","0.5000069378468919"
"279.98","0.0017707806013971864","0.0027998000000000003","-1.0044478089465658","0.07683968724013295","1.0","0.5000087454372709"
"283.95","0.0019717525564442637","0.0028395","-1.0034732195880882","0.07792924205956049","1.0","0.5000097379868981"
"285.0","0.0020249063480814013","0.00285","-1.0032154566595235","0.07821741147024033","1.0","0.5000100005000236"
"297.0","0.0026323782525058217","0.00297","-1.0002695946187854","0.08151077616372414","1.0","0.5000130006500296"
"296.99","0.0026318720259188018","0.0029699","-1.0002720495038193","0.08150803169314623","1.0","0.5000129981499045"
"299.0","0.0027336235699098915","0.00299","-0.9997786176119956","0.08205967027930477","1.0","0.5000135006750305"
"309.0","0.003239850156930242","0.00309","-0.9973237325780471","0.08480414085720794","1.0","0.5000160008000345"
"320.01","0.003797205629239647","0.0032001","-0.9946209041556697","0.08782580296347933","1.0","0.5000187534376631"
"374.0","0.006530322972562519","0.00374","-0.9813669798573816","0.10264319961357854","1.0","0.500032251612536"
"336.69","0.004641591576389592","0.0033669","-0.9905261559190436","0.09240357988742182","1.0","0.5000229236461663"
"330.0","0.004302925989672977","0.0033","-0.9921684740067552","0.09056752907080459","1.0","0.5000212510625404"
"370.0","0.0063278323377543785","0.0037","-0.982348933870961","0.10154541138241727","1.0","0.5000312515625375"
"424.62","0.009092841956059533","0.0042462","-0.9689403518155342","0.11653570967892439","1.0","0.5000449072452415"
"500.0","0.012908777969018933","0.005","-0.9504354284296301","0.1372235288951585","1.0","0.5000637531873139"
"450.0","0.010377645033917181","0.0045","-0.9627098535993728","0.12350117600564263","1.0","0.5000512525624486"
"399.7","0.007831325301204818","0.003997","-0.9750579253201339","0.10969648899878968","1.0","0.5000386769337696"
"391.92","0.0074374810165029875","0.0039192","-0.9769678258765458","0.10756129088918102","1.0","0.5000367318365257"
"389.61","0.007320542674901286","0.0038961","-0.9775349043193879","0.10692731818568539","1.0","0.5000361543076524"
"386.79","0.007177786777361548","0.0038679","-0.9782271818989615","0.10615337748271671","1.0","0.5000354492724042"
"383.0","0.006985926900880834","0.00383","-0.979157583326828","0.1051132231336914","1.0","0.5000345017250315"
"343.75","0.004998987546825959","0.0034375","-0.988793007085076","0.09434117611542145","1.0","0.5000246887344166"
"344.8","0.0050521413384630965","0.003448","-0.9885352441565113","0.09462934552610129","1.0","0.5000249512475416"
"348.58","0.0052434949883567875","0.0034858","-0.9876072976136788","0.09566675540454868","1.0","0.5000258962947915"
"2200.0","0.09896729776247848","0.022","-0.5331049726583795","0.6037835271386973","1.0","0.5004887742830307"
"354.99","0.005567986230636834","0.0035499","-0.9860337163069178","0.09742596104498462","1.0","0.500027498874916"
"338.99","0.004758023691404273","0.0033899","-0.9899615323612355","0.09303480812033954","1.0","0.5000234986749165"
"340.24","0.004821302014781817","0.0034024000000000003","-0.989654671731992","0.09337786694257744","1.0","0.5000238111905415"
"337.9","0.004702844993419053","0.0033789999999999996","-0.9902291148299358","0.09273566082734809","1.0","0.5000232261612914"
"335.99","0.004606155715298168","0.0033599000000000003","-0.9906979978714201","0.09221146694696859","1.0","0.5000227486374161"
"328.3","0.004216867469879519","0.0032830000000000003","-0.9925858044625264","0.09010096907256106","1.0","0.5000208260412901"
"328.97","0.0042507846512098825","0.0032897000000000004","-0.9924213271652518","0.09028484860128058","1.0","0.5000209935496651"
"328.75","0.004239647666295434","0.0032875","-0.9924753346359988","0.0902244702485667","1.0","0.5000209385469151"
"326.32","0.004116634605649488","0.0032632","-0.9930718716992482","0.08955756389813622","1.0","0.5000203310165396"
"324.53","0.0040260200465728445","0.0032452999999999996","-0.9935112961203251","0.08906630366469155","1.0","0.5000198834941643"
"332.0","0.004404171307077048","0.00332","-0.9916774969999654","0.09111642318638523","1.0","0.5000217510875407"
"365.37","0.006093449427963957","0.0036537","-0.9834855456416792","0.1002747215048481","1.0","0.5000300940046639"
"369.04","0.006279234585400426","0.0036904000000000004","-0.9825846028342201","0.10128194220693858","1.0","0.5000310115505378"
"360.41","0.005842361040801864","0.0036041000000000003","-0.9847031686185177","0.09891346409820814","1.0","0.500028853942665"
"380.0","0.0068340589247747295","0.0038","-0.9798940488370125","0.10428988196032045","1.0","0.5000337516875332"
"380.99","0.0068841753568897445","0.0038099","-0.9796510152186517","0.10456158454753287","1.0","0.5000339991999075"
"379.99","0.00683355269818771","0.0037999","-0.9798965037220465","0.10428713748974254","1.0","0.5000337491874082"
