date,symbol,open,close,low,high,volume
26/08/2019 0:03,BTCUSD,10155.45,10160.95,10155.45,10160.95,0.003206949
26/08/2019 0:02,BTCUSD,10164.01,10155.45,10155.45,10164.01,0.01915643
26/08/2019 0:01,BTCUSD,10144.61,10164.01,10144.61,10164.01,0.03601634
26/08/2019 0:00,BTCUSD,10135.59,10144.61,10135.59,10153.1,0.013322
25/08/2019 23:59,BTCUSD,10141.16,10135.59,10135.59,10143.01,0.3001
25/08/2019 23:58,BTCUSD,10150,10141.16,10141.16,10157.47,2.18409397
25/08/2019 23:57,BTCUSD,10114.21,10150,10114.21,10150,5.64034409
25/08/2019 23:56,BTCUSD,10086.15,10114.21,10086.15,10117.98,0.011172862
25/08/2019 23:55,BTCUSD,10097.91,10086.15,10086.15,10097.91,0.02411435
25/08/2019 23:54,BTCUSD,10097.92,10097.91,10097.91,10097.92,9.81E-05
25/08/2019 23:53,BTCUSD,10094.15,10097.92,10094.15,10097.92,0.04853469
25/08/2019 23:52,BTCUSD,10094.15,10094.15,10094.15,10094.15,0
25/08/2019 23:51,BTCUSD,10094.15,10094.15,10094.15,10094.15,0
25/08/2019 23:50,BTCUSD,10100.49,10094.15,10088.11,10100.5,0.19608261
25/08/2019 23:49,BTCUSD,10104.4,10100.49,10100.49,10104.4,0.02028962
25/08/2019 23:48,BTCUSD,10104.31,10104.4,10095.36,10104.4,0.04899151
25/08/2019 23:47,BTCUSD,10097.78,10104.31,10097.78,10104.31,0.00181188
25/08/2019 23:46,BTCUSD,10086.27,10097.78,10086.27,10108.02,0.19965744
25/08/2019 23:45,BTCUSD,10086.27,10086.27,10086.27,10086.27,0
25/08/2019 23:44,BTCUSD,10086.27,10086.27,10086.27,10086.27,0
25/08/2019 23:43,BTCUSD,10086.27,10086.27,10086.27,10086.27,0
25/08/2019 23:42,BTCUSD,10086.27,10086.27,10086.27,10086.27,0
25/08/2019 23:41,BTCUSD,10093.77,10086.27,10086.27,10093.77,0.063045351
25/08/2019 23:40,BTCUSD,10095.84,10093.77,10093.77,10099.05,0.033500901
25/08/2019 23:39,BTCUSD,10095.86,10095.84,10095.84,10095.86,0.01882554
25/08/2019 23:38,BTCUSD,10095.86,10095.86,10095.86,10095.86,0
25/08/2019 23:37,BTCUSD,10105.95,10095.86,10095.86,10105.95,0.00099219
25/08/2019 23:36,BTCUSD,10105.95,10105.95,10105.95,10105.95,0
25/08/2019 23:35,BTCUSD,10105.95,10105.95,10105.95,10105.95,0
25/08/2019 23:34,BTCUSD,10105.95,10105.95,10105.95,10105.95,0
25/08/2019 23:33,BTCUSD,10114.68,10105.95,10105.95,10114.68,0.08743719
25/08/2019 23:32,BTCUSD,10110.53,10114.68,10110.53,10114.68,0.01253483
25/08/2019 23:31,BTCUSD,10101.7,10110.53,10101.7,10117.39,0.09754414
25/08/2019 23:30,BTCUSD,10117.66,10101.7,10101.03,10117.66,0.0198702
25/08/2019 23:29,BTCUSD,10101.56,10117.66,10101.56,10117.66,0.01937423
25/08/2019 23:28,BTCUSD,10099.13,10101.56,10099.13,10101.56,4.01577681
25/08/2019 23:27,BTCUSD,10083.8,10099.13,10083.8,10102.37,0.16174192
25/08/2019 23:26,BTCUSD,10083.8,10083.8,10083.8,10083.8,0
25/08/2019 23:25,BTCUSD,10082.4,10083.8,10082.4,10083.8,0.19959273
25/08/2019 23:24,BTCUSD,10076.77,10082.4,10076.77,10082.4,0.00163057
25/08/2019 23:23,BTCUSD,10074.12,10076.77,10074.12,10076.77,0.00957919
25/08/2019 23:22,BTCUSD,10074.52,10074.12,10068.88,10074.52,0.02462416
25/08/2019 23:21,BTCUSD,10070.86,10074.52,10070.36,10074.52,0.025382196
25/08/2019 23:20,BTCUSD,10079.43,10070.86,10070.86,10079.43,0.39608417
25/08/2019 23:19,BTCUSD,10070.43,10079.43,10070.43,10079.43,0.10996763
25/08/2019 23:18,BTCUSD,10070.43,10070.43,10070.43,10070.43,0.00654273
25/08/2019 23:17,BTCUSD,10073.95,10070.43,10070.43,10073.95,0.02841302
25/08/2019 23:16,BTCUSD,10076.47,10073.95,10073.95,10076.47,0.00611973
25/08/2019 23:15,BTCUSD,10076.48,10076.47,10076.47,10076.48,0.00561349
25/08/2019 23:14,BTCUSD,10088.26,10076.48,10076.48,10088.26,0.00089231
25/08/2019 23:13,BTCUSD,10090.49,10088.26,10088.26,10090.49,0.00991
25/08/2019 23:12,BTCUSD,10090.49,10090.49,10090.49,10090.49,0
25/08/2019 23:11,BTCUSD,10088.26,10090.49,10088.26,10093.7,0.07922037
25/08/2019 23:10,BTCUSD,10088.26,10088.26,10088.26,10088.26,0
25/08/2019 23:09,BTCUSD,10114.39,10088.26,10088.26,10114.39,0.0055
25/08/2019 23:08,BTCUSD,10105.48,10114.39,10105.48,10114.39,0.02561966
25/08/2019 23:07,BTCUSD,10099.85,10105.48,10099.85,10113.81,0.26726131
25/08/2019 23:06,BTCUSD,10083.57,10099.85,10083.57,10099.85,1
25/08/2019 23:05,BTCUSD,10085.96,10083.57,10083.57,10090.69,0.01288765
25/08/2019 23:04,BTCUSD,10086,10085.96,10085.96,10086,0.01448189
25/08/2019 23:03,BTCUSD,10060.97,10086,10060.97,10086,1.99839707
25/08/2019 23:02,BTCUSD,10060.98,10060.97,10060.97,10060.98,0.04766118
25/08/2019 23:01,BTCUSD,10060.98,10060.98,10060.98,10060.98,0.00636625
25/08/2019 23:00,BTCUSD,10060.98,10060.98,10060.97,10060.98,0.00501075
25/08/2019 22:59,BTCUSD,10060.98,10060.98,10060.98,10060.98,0
25/08/2019 22:58,BTCUSD,10060.98,10060.98,10060.98,10060.98,0
25/08/2019 22:57,BTCUSD,10064.39,10060.98,10060.98,10064.39,0.02512565
25/08/2019 22:56,BTCUSD,10064.39,10064.39,10064.39,10064.39,0
25/08/2019 22:55,BTCUSD,10066.8,10064.39,10060.98,10066.8,0.01950415
25/08/2019 22:54,BTCUSD,10066.8,10066.8,10066.8,10066.8,0
