"MEDIAN_NOR",""
"actual","predict"
"1502.7602917695046","3426.679931640625"
"3614.8605454969406","3486.0"
"4721.803094862699","3439.52001953125"
"4280.330028928518","3295.5"
"3840.088812764883","3241.0"
"3691.3737926518916","3263.050048828125"
"3689.3540107643603","3584.989990234375"
"3784.1443293738366","3681.10009765625"
"3918.5536470210554","3922.60009765625"
"4059.224288519621","4200.0"
"4192.399584587813","4163.66015625"
"4284.866068122387","4005.0"
"4318.87962947011","4053.0400390625"
"4312.840264445544","4238.330078125"
"4297.967719966173","4046.239990234375"
"4275.176327402592","3863.820068359375"
"4239.614700969458","3842.27001953125"
"4194.481480197906","3965.22998046875"
"4157.670195164681","3937.2099609375"
"4143.393594932556","3864.929931640625"
"4143.589057695865","3837.909912109375"
"4143.886161096096","3840.85009765625"
"4139.360980944633","3911.989990234375"
"4142.334621117115","3894.169921875"
"4153.394772988558","3850.300048828125"
"4162.526793290377","3859.5"
"4168.375473530293","4079.0400390625"
"4183.218915776014","4069.9599609375"
"4216.7716193640235","4112.1201171875"
"4257.774060404301","4044.820068359375"
"4291.923576962948","4034.610107421875"
"4297.524236674309","3695.0"
"4265.590399128198","3650.0"
"4214.470371097326","3644.5400390625"
"4162.224477549791","3713.159912109375"
"4122.332265005111","3682.590087890625"
"4099.566934143305","3663.580078125"
"4086.2745975148678","3657.7900390625"
"4075.8620789325237","3643.68994140625"
"4065.645023113489","3760.0"
"4059.2394911789893","3702.090087890625"
"4051.654232877493","3568.780029296875"
"4034.554281619787","3611.6298828125"
"4012.763224042654","3611.570068359375"
"3997.1005756378177","3596.64990234375"
"3989.931435841322","3578.0"
"3987.4816358745097","3659.3798828125"
"3988.376420968771","3563.5400390625"
"3987.237524601221","3535.179931640625"
"3975.7999124157427","3437.929931640625"
"3951.068226155043","3459.5"
"3922.652718348503","3472.0"
"3900.918562153578","3458.179931640625"
"3887.0654645752907","3484.989990234375"
"3881.0074219977855","3471.419921875"
"3878.396039479971","3435.0"
"3873.1806585931777","3430.0"
"3865.3495515716077","3445.219970703125"
"3855.1828817093374","3380.0"
"3841.9904482710363","3711.260009765625"
"3841.857967953682","3638.93994140625"
"3868.388780360222","3655.0400390625"
"3908.676262048483","3649.989990234375"
"3943.9047330605986","3618.56005859375"
"3964.3996553361417","3627.7900390625"
"3973.07385841012","3657.0"
"3976.6308463406563","3615.7900390625"
"3978.942084926367","3606.919921875"
"3982.307953710556","3675.8701171875"
"3989.5505006337166","3912.510009765625"
"4012.7554055321216","3971.4599609375"
"4059.8410821282864","3966.669921875"
"4116.885369334221","3987.0"
"4166.255354090929","3954.989990234375"
"4200.59294926405","4153.009765625"
"4232.185378516912","4186.990234375"
"4256.717692759037","3859.169921875"
"4258.419087523222","3828.1201171875"
"4244.499098243714","3820.280029296875"
"4226.688096889257","3912.159912109375"
"4215.022879174948","3843.780029296875"
"4211.436789010763","3818.31005859375"
"4210.444706896544","3818.52001953125"
"4207.691722465754","3805.4599609375"
"4197.705747069121","3876.590087890625"
"4185.902402335405","3893.2900390625"
"4184.019878743887","3889.719970703125"
"4191.59862161994","3910.0"
"4200.704580219985","3947.8798828125"
"4210.955516251326","3918.35009765625"
"4223.426909273863","3910.4599609375"
"4232.759604679346","3876.219970703125"
"4235.723254532814","3869.989990234375"
"4235.246759752035","3900.0"
"4234.42060380578","3907.110107421875"
"4237.254379512072","4037.02001953125"
"4250.219207421541","3992.419921875"
"4270.909158098698","4015.85009765625"
"4290.695636447668","4012.68994140625"
"4306.133285493851","4048.85009765625"
"4319.4178036117555","4059.3701171875"
"4329.7916640031335","3999.72998046875"
"4335.600817328692","4000.5"
"4338.227836867571","3982.449951171875"
"4338.933674623966","4034.1298828125"
"4336.297967851162","3921.72998046875"
"4329.04629933238","4034.0"
"4325.115760343075","4027.35009765625"
"4330.942722498178","4098.0400390625"
"4344.912663372756","4129.490234375"
"4363.684907160998","4102.91015625"
"4382.075781379938","4147.990234375"
"4397.550351170302","5090.6201171875"
"4450.378289390803","5346.68017578125"
"4575.68121407628","5072.56982421875"
"4721.470808165073","5067.41015625"
"4835.912518635988","5239.39990234375"
"4916.342839567661","5266.740234375"
"4994.741216484308","5350.0"
"5077.98012014389","5287.89013671875"
"5155.938054300546","5471.14013671875"
"5224.569808477163","5347.06982421875"
"5268.457714265585","5117.0498046875"
"5273.644861642122","5141.740234375"
"5258.700213121176","5187.93994140625"
"5246.099380313158","5190.0"
"5237.57199149251","5230.0"
"5234.328178344965","5271.8701171875"
"5245.089923731089","5315.47998046875"
"5267.746229807139","5358.64013671875"
"5291.95972256422","5358.02001953125"
"5313.0062841939925","5342.22998046875"
"5327.542198358774","5439.990234375"
"5341.632891784907","5643.97021484375"
"5372.514705302716","5624.580078125"
"5415.559080677032","5515.39990234375"
"5430.623178664446","5290.47021484375"
"5404.555395826102","5217.39990234375"
"5362.491374800205","5213.66015625"
"5327.162566236258","5189.14013671875"
"5303.275713474751","5285.02001953125"
"5295.665262194872","5358.2998046875"
"5309.805907216072","5421.330078125"
"5339.982317339182","5800.02001953125"
"5391.682652596235","5837.2001953125"
"5467.034850937128","5778.39990234375"
"5544.08453478694","5758.31005859375"
"5598.372362668514","5969.509765625"
"5637.142184590101","5989.97998046875"
"5677.714173189402","6170.330078125"
"5741.130112117529","6427.25"
"5837.822934956551","7445.4501953125"
"6002.094619220496","7578.830078125"
"6218.078366507292","8170.0"
"6447.366178188324","8342.0"
"6688.749660024643","8299.5"
"6911.856070406437","8380.0"
"7073.847790126801","7941.509765625"
"7121.947701283693","7488.2099609375"
