"REAL","MINMAX","DECIMAL_SCALING","Z_SCORE","MEDIAN_NOR","SIGMOID_NOR","TANH_EST"
"12.0","0.0033339939973950957","0.0012","-0.9293451999190501","0.05811138014527845","0.9999938558253978","0.5000165843902447"
"9.98","0.0019041282065802142","9.98E-4","-0.9368337912684962","0.04832929782082325","0.9999536850759906","0.5000094717642822"
"10.47","0.0022509768390056068","0.001047","-0.9350172517827394","0.05070217917675545","0.9999716257460396","0.5000111971042439"
"12.0","0.0033339939973950957","0.0012","-0.9293451999190501","0.05811138014527845","0.9999938558253978","0.5000165843902447"
"11.59","0.003043773713120788","0.001159","-0.9308651615295812","0.05612590799031477","0.9999907418772642","0.5000151407384409"
"10.98","0.0026119825584687696","0.001098","-0.9331265678281764","0.05317191283292978","0.999982961192799","0.5000129928662445"
"10.59","0.0023359193612322326","0.001059","-0.934572384969901","0.05128329297820823","0.9999748342135404","0.5000116196364793"
"11.41","0.002916359929780848","0.001141","-0.9315324617488389","0.055254237288135596","0.9999889160349485","0.5000145069400879"
"12.49","0.003680842629820488","0.0012490000000000001","-0.9275286604332933","0.060484261501210654","0.9999962359075094","0.500018309730205"
"14.0","0.004749702701172207","0.0014","-0.9219307530384104","0.06779661016949153","0.9999991684719722","0.5000236265941613"
"14.5","0.005103629877116485","0.00145","-0.9200771413182505","0.07021791767554479","0.9999994956525918","0.5000253871451391"
"14.77","0.005294750552126394","0.001477","-0.9190761909893641","0.07152542372881356","0.9999996149914846","0.5000263378426669"
"13.98","0.004735545614134436","0.001398","-0.9220048975072168","0.0676997578692494","0.9999991516740061","0.5000235561721222"
"14.45","0.005068237159522056","0.0014449999999999999","-0.9202625024902665","0.06997578692493947","0.999999469794161","0.5000252110900414"
"14.43","0.005054080072484285","0.001443","-0.9203366469590728","0.06987893462469734","0.9999994590832982","0.5000251406680023"
"13.79","0.0046010532872756095","0.001379","-0.9227092699608775","0.06677966101694915","0.9999989741623153","0.5000228871627505"
"12.89","0.0039639843705759105","0.001289","-0.9260457710571655","0.06242130750605327","0.9999974768502172","0.5000197181709886"
"12.9","0.003971062914094796","0.0012900000000000001","-0.9260086988227622","0.06246973365617434","0.9999975019559143","0.5000197533820082"
"12.61","0.0037657851520471143","0.001261","-0.9270837936204549","0.061065375302663434","0.9999966615480234","0.5000187322624401"
